GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspPositiveWeightsBench.GraphArgs,0,12,0,0,0,5,0,1,0,1
JGAlgo - Benchmarks,com.jgalgo.bench.impls,RmqStaticBench.Query,3,218,1,11,1,39,1,11,0,6
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Edge.MatrixDirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspPositiveWeightsBench.Gnp,0,85,0,2,0,17,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,LcaDynamicBench,12,294,3,14,3,64,3,14,0,8
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspNegativeWeightsBench.GraphArgs,0,12,0,0,0,5,0,1,0,1
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Edge.LinkedDirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.new LongIterator() {...},7,21,1,1,2,5,2,2,1,2
JGAlgo - Benchmarks,com.jgalgo.bench.impls,LcaDynamicBench.OpLcaQuery,0,9,0,0,0,4,0,1,0,1
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.new IntIterator() {...},7,21,1,1,2,5,2,2,1,2
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.Supply.RecursiveMatrix,0,80,0,2,0,17,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,IntGraphIdBuilderBench.Query.MurmurHash3.new Object() {...},0,9,0,0,0,2,0,1,0,1
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.ArrayUndirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MaximumFlowBench.BarabasiAlbert,5,126,1,3,0,31,1,11,0,10
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Vertex.LinkedUndirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,ReferenceableHeapBench.GraphArgs,12,0,0,0,5,0,1,0,1,0
JGAlgo - Benchmarks,com.jgalgo.bench.impls,ReferenceableHeapBench,225,0,22,0,42,0,25,0,14,0
JGAlgo - Benchmarks,com.jgalgo.bench.impls,ShortestPathStBench.RecursiveMatrix,0,105,0,2,0,20,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,ShortestPathStBench.BarabasiAlbert,0,98,0,2,0,19,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,RmqStaticBench.PreProcess,0,107,0,2,0,21,0,8,0,7
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.MaxFlow.Task,0,54,0,0,0,15,0,2,0,2
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.ArrayDirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.MatrixDirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.MaxFlow,0,39,0,0,0,5,0,3,0,3
JGAlgo - Benchmarks,com.jgalgo.bench.impls,IntGraphIdBuilderBench.Query.Increment0x61c88647.new Object() {...},0,9,0,0,0,2,0,1,0,1
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.CsrDirected,8,96,2,2,0,40,2,17,0,17
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Edge.LinkedPtrDirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspPositiveWeightsBench.BarabasiAlbert,0,85,0,2,0,17,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,KShortestPathsStBench.Directed,0,28,0,0,0,9,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MaximalCliquesEnumeratorBench,94,40,12,2,19,7,7,4,1,3
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MatchingBench.MaximumWeighted,0,120,0,2,0,25,0,8,0,7
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MatchingBench.MaximumCardinalityBipartite,0,103,0,2,0,20,0,7,0,6
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.HashtableMultiUndirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspNegativeWeightsBench.Gnp,0,88,0,2,0,18,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,SsspPositiveWeightsBench.RecursiveMatrix,0,92,0,2,0,18,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Vertex.MatrixDirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench,3,10,0,0,1,2,1,2,1,2
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.MaxFlow.RecursiveMatrix,0,80,0,2,0,17,0,5,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.Supply,0,37,0,0,0,5,0,3,0,3
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.HashtableMultiDirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.EdgesRead.MatrixUndirected,0,71,0,0,0,29,0,15,0,15
JGAlgo - Benchmarks,com.jgalgo.bench.impls,GraphBench.Remove.Vertex.ArrayDirected,0,26,0,0,0,7,0,4,0,4
JGAlgo - Benchmarks,com.jgalgo.bench.impls,MinCostFlowBench.new Object() {...},0,3,0,0,0,1,0,1,0,1
