GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - Core,com.jgalgo.gen,IntersectionGraphGenerator,4,429,4,70,0,95,3,46,0,12
JGAlgo - Core,com.jgalgo.gen,GnpBipartiteGraphGenerator,0,460,0,52,0,89,0,44,0,18
JGAlgo - Core,com.jgalgo.gen,GnmBipartiteGraphGenerator,0,657,0,90,0,133,0,64,0,19
JGAlgo - Core,com.jgalgo.gen,LineGraphGenerator,12,404,3,39,0,91,3,29,0,11
JGAlgo - Core,com.jgalgo.gen,ComplementGraphGenerator,0,286,0,36,0,58,0,25,0,7
JGAlgo - Core,com.jgalgo.gen,UnionGraphGenerator,0,1136,0,142,0,244,0,90,0,19
JGAlgo - Core,com.jgalgo.gen,UnionGraphGenerator.WeightsCopier,0,40,0,2,0,12,0,5,0,4
JGAlgo - Core,com.jgalgo.gen,CompleteGraphGenerator,0,319,0,36,0,75,0,28,0,10
JGAlgo - Core,com.jgalgo.gen,GraphGenerator,0,8,0,0,0,2,0,2,0,2
JGAlgo - Core,com.jgalgo.gen,UniformTreeGenerator,4,404,1,41,0,77,1,33,0,13
JGAlgo - Core,com.jgalgo.gen,DifferenceGraphGenerator,4,324,1,41,0,78,1,28,0,8
JGAlgo - Core,com.jgalgo.gen,GnmGraphGenerator,0,512,0,80,0,120,0,53,0,13
JGAlgo - Core,com.jgalgo.gen,BarabasiAlbertGraphGenerator,0,496,0,48,0,103,0,36,0,12
JGAlgo - Core,com.jgalgo.gen,CompleteBipartiteGraphGenerator,0,429,0,46,0,81,0,39,0,16
JGAlgo - Core,com.jgalgo.gen,BipartiteGenerators.Direction,0,44,0,0,0,5,0,1,0,1
JGAlgo - Core,com.jgalgo.gen,EmptyGraphGenerator,0,143,0,14,0,36,0,16,0,9
JGAlgo - Core,com.jgalgo.gen,RecursiveMatrixGraphGenerator,14,647,7,81,0,134,7,51,0,14
JGAlgo - Core,com.jgalgo.gen,SymmetricDifferenceGraphGenerator,4,421,1,53,0,100,1,34,0,8
JGAlgo - Core,com.jgalgo.gen,GnpGraphGenerator,0,354,0,44,0,80,0,34,0,12
JGAlgo - Core,com.jgalgo.graph,WeightsImplObj.IndexImpl,0,97,0,4,0,20,0,7,0,5
JGAlgo - Core,com.jgalgo.graph,IndexIntIdMapImpl.IdSet,0,73,0,2,0,12,0,9,0,8
JGAlgo - Core,com.jgalgo.graph,Graphs.UndirectedView.EdgeSetBase,1,73,1,9,0,15,1,11,0,7
JGAlgo - Core,com.jgalgo.graph,WeightsImplByte.IndexMutable,4,78,1,1,0,21,1,9,0,9
JGAlgo - Core,com.jgalgo.graph,IndexGraphBase.EdgeSetSourceTargetUndirected,0,50,0,12,0,7,0,8,0,2
JGAlgo - Core,com.jgalgo.graph,Graphs.UndirectedViewIntBase.EdgeSetBase,1,61,1,7,0,13,1,8,0,5
JGAlgo - Core,com.jgalgo.graph,GraphCsrBase.BuilderProcessEdgesUndirected,4,215,1,17,0,39,1,11,0,3
JGAlgo - Core,com.jgalgo.graph,GraphBaseMutable.new Object() {...},0,61,0,10,0,10,0,7,0,2
JGAlgo - Core,com.jgalgo.graph,IndexGraphBase.EdgeSetInUndirected,0,43,2,6,0,6,2,5,0,3
JGAlgo - Core,com.jgalgo.graph,WeightsImplFloat.ObjImmutableView,0,22,0,0,0,6,0,5,0,5
JGAlgo - Core,com.jgalgo.graph,Graphs.UndirectedViewIntBase.EdgeSetSourceTarget,0,37,0,0,0,6,0,3,0,3
JGAlgo - Core,com.jgalgo.graph,IndexIdMaps,49,735,10,148,10,174,12,91,2,22
JGAlgo - Core,com.jgalgo.graph,WeightsImplFloat.ObjMapped,0,30,0,0,0,7,0,5,0,5
JGAlgo - Core,com.jgalgo.graph,GraphCsrDirectedReindexed.EdgeSetOut,0,40,0,0,0,7,0,3,0,3
JGAlgo - Core,com.jgalgo.graph,Graphs.UndirectedViewIndex,0,41,0,0,0,14,0,9,0,9
JGAlgo - Core,com.jgalgo.graph,WeightsImplDouble.IndexImmutable,0,18,0,0,0,5,0,3,0,3
JGAlgo - Core,com.jgalgo.graph,Graphs.ImmutableEdgeIter,0,33,0,0,0,9,0,7,0,7
JGAlgo - Core,com.jgalgo.graph,GraphHashmapMultiUndirected.SourceTargetEdgeSet,0,56,1,11,0,8,1,8,0,3
JGAlgo - Core,com.jgalgo.graph,Graphs.new AbstractIntSet() {...},2,43,1,7,0,5,1,8,0,5
JGAlgo - Core,com.jgalgo.graph,IdBuilders.DefaultLongFactory,0,16,0,0,0,3,0,2,0,2
JGAlgo - Core,com.jgalgo.graph,Graphs.UndirectedView.EdgeSetIn,0,17,0,0,0,4,0,2,0,2
JGAlgo - Core,com.jgalgo.graph,GraphLinkedPtrDirected.EdgeSetOut,0,27,0,0,0,5,0,3,0,3
JGAlgo - Core,com.jgalgo.graph,Graphs.ReversedEdgeIter,0,12,0,0,0,4,0,3,0,3
