GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JGAlgo - IO,com.jgalgo.io,GmlGraphWriter,0,427,0,40,0,73,0,30,0,10
JGAlgo - IO,com.jgalgo.io,Graph6.BitsReader,0,122,0,14,0,23,0,11,0,4
JGAlgo - IO,com.jgalgo.io,DimacsGraphReader,0,260,0,37,0,70,0,23,0,3
JGAlgo - IO,com.jgalgo.io,Sparse6GraphReader,0,165,0,28,0,44,0,16,0,2
JGAlgo - IO,com.jgalgo.io,GraphWriter,36,0,0,0,12,0,2,0,2,0
JGAlgo - IO,com.jgalgo.io,WeightsStringifier,0,6,0,0,0,1,0,1,0,1
JGAlgo - IO,com.jgalgo.io,GexfGraphWriter.new Supplier() {...},0,34,0,2,0,5,0,3,0,2
JGAlgo - IO,com.jgalgo.io,GraphFormats,0,4,0,0,0,1,0,1,0,1
JGAlgo - IO,com.jgalgo.io,Gml,18,82,8,30,3,9,8,16,0,5
JGAlgo - IO,com.jgalgo.io,LedaGraphReader,0,601,0,89,0,150,0,66,0,17
JGAlgo - IO,com.jgalgo.io,GexfGraphReader,4,2113,1,266,1,477,1,209,0,65
JGAlgo - IO,com.jgalgo.io,GraphFormat,27,0,0,0,7,0,2,0,2,0
JGAlgo - IO,com.jgalgo.io,Graph6,6,362,2,18,0,63,1,13,0,4
JGAlgo - IO,com.jgalgo.io,GraphIoUtils.AbstractGraphReader,6,7,0,0,2,2,0,2,0,2
JGAlgo - IO,com.jgalgo.io,Digraph6GraphWriter,0,198,0,22,0,41,0,14,0,3
JGAlgo - IO,com.jgalgo.io,DimacsGraphWriter,0,164,0,20,0,34,0,14,0,4
JGAlgo - IO,com.jgalgo.io,Sparse6GraphWriter,117,533,23,65,20,113,14,35,1,4
JGAlgo - IO,com.jgalgo.io,XmlUtils,0,112,0,12,0,21,0,16,0,10
JGAlgo - IO,com.jgalgo.io,GexfGraphWriter,6,1235,0,156,2,229,0,133,0,55
JGAlgo - IO,com.jgalgo.io,Writer2,48,72,0,0,12,17,6,8,6,8
JGAlgo - IO,com.jgalgo.io,LedaGraphWriter,7,292,2,44,0,71,1,28,0,6
JGAlgo - IO,com.jgalgo.io,GraphIoUtils.AbstractIntGraphReader,10,13,0,0,2,3,2,3,2,3
JGAlgo - IO,com.jgalgo.io,WeightsStringifier.Builder,30,231,0,16,10,53,5,23,5,15
JGAlgo - IO,com.jgalgo.io,GraphReader,36,5,0,0,8,1,2,1,2,1
JGAlgo - IO,com.jgalgo.io,GmlGraphReader.KeySearcher,0,51,0,6,0,13,0,6,0,3
JGAlgo - IO,com.jgalgo.io,GraphIoUtils.AbstractGraphWriter,6,9,0,0,2,4,0,2,0,2
JGAlgo - IO,com.jgalgo.io,Graph6GraphWriter,0,223,0,26,0,47,0,16,0,3
JGAlgo - IO,com.jgalgo.io,GraphMlGraphWriter,6,522,0,70,2,118,0,41,0,6
JGAlgo - IO,com.jgalgo.io,GmlGraphReader,7,1048,2,150,0,224,1,103,0,27
JGAlgo - IO,com.jgalgo.io,Digraph6GraphReader,0,151,0,22,0,36,0,13,0,2
JGAlgo - IO,com.jgalgo.io,GmlGraphReader.CharReader,0,146,2,18,0,37,2,18,0,10
JGAlgo - IO,com.jgalgo.io,XmlUtils.new Iterator() {...},0,66,0,6,0,14,0,7,0,4
JGAlgo - IO,com.jgalgo.io,GraphIoUtils,3,270,1,55,0,50,1,41,0,14
JGAlgo - IO,com.jgalgo.io,Graph6GraphReader,0,133,0,20,0,33,0,12,0,2
JGAlgo - IO,com.jgalgo.io,Graph6.BitsWriter,9,78,2,10,0,17,1,10,0,5
JGAlgo - IO,com.jgalgo.io,GraphIoUtils.new Function() {...},0,61,0,6,0,10,0,6,0,3
JGAlgo - IO,com.jgalgo.io,GraphMlGraphReader,0,617,0,63,0,149,0,56,0,21
JGAlgo - IO,com.jgalgo.io,GraphIoUtils.new Iterator() {...},10,48,2,6,3,14,2,5,0,3
